Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:15:50,2022-12-21 16:15:50,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/See all boking class/With POST Method""))",,,,2022-12-21 16:15:50,2022-12-21 16:15:50,0.405s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:15:50,2022-12-21 16:15:50,0.004s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/See all boking class/With PUT Method""))",,,,2022-12-21 16:15:50,2022-12-21 16:15:51,0.409s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:15:51,2022-12-21 16:15:51,0.001s,PASSED
,,,,,,,
Test Cases/Booking/Offline Class/TC_Update,,,,2022-12-21 16:15:51,2022-12-21 16:15:54,2.964s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with valid""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:15:51,2022-12-21 16:15:51,0.476s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:15:51,2022-12-21 16:15:51,0.002s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:15:51,2022-12-21 16:15:51,0.000s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:15:51,2022-12-21 16:15:52,0.001s,PASSED
Token = access_token,,,,2022-12-21 16:15:52,2022-12-21 16:15:52,0.000s,PASSED
globalVar = Token,,,,2022-12-21 16:15:52,2022-12-21 16:15:52,0.000s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/Update class with valid input""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:15:52,2022-12-21 16:15:52,0.592s,PASSED
"verifyResponseStatusCode(response, statuscode)",,,,2022-12-21 16:15:52,2022-12-21 16:15:52,0.003s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/Update with invalid input""))",,,,2022-12-21 16:15:52,2022-12-21 16:15:52,0.402s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:15:52,2022-12-21 16:15:53,0.001s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/Update with invalid Token""))",,,,2022-12-21 16:15:53,2022-12-21 16:15:53,0.399s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:15:53,2022-12-21 16:15:53,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/With POST Method""))",,,,2022-12-21 16:15:53,2022-12-21 16:15:53,0.432s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:15:53,2022-12-21 16:15:53,0.001s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/With PUT Method""))",,,,2022-12-21 16:15:53,2022-12-21 16:15:54,0.412s,PASSED
